habit,risk,no_risk
all_pick,5,0
attack_rat,1,0
bat,30,0
bat_and_pick,20,0
bat_and_pick_far,1,0
bat_and_rat,19,0
bat_fight,26,0
bat_fight_and_pick,1,0
bat_fight_and_rat,1,0
bat_fight_rat,1,0
bat_figiht,1,0
bat_pick,3,0
bat_pick_rat,1,0
bat_rat,1,0
bat_rat_pick,1,0
bats,7,0
both,0,4
bowl_out,0,1
eating,0,1
eating_and_bat_and_pick,1,0
eating_bat_pick,1,0
eating_bat_rat_pick,1,0
fast,0,245
fast_and_pick,0,1
fast_far,0,1
fight,0,2
fight_bat,1,0
fight_rat,2,0
gaze,0,1
no_food,0,4
not_sure_rat,1,0
other,1,0
other directions,1,0
other_bat,1,0
other_bats,7,0
other_bats/rat,1,0
others,5,0
pick,0,139
pick_and_all,3,0
pick_and_bat,8,0
pick_and_others,8,0
pick_and_rat,6,0
pick_bat,6,0
pick_bat_rat,1,0
pick_eating_all,1,0
pick_rat,4,0
pick_rat_and_bat,1,0
pick_rat_bat,1,0
pup_and_mon,0,1
rat,221,0
rat attack,1,0
rat_and_bat,14,0
rat_and_bat_and_pick,1,0
rat_and_no_food,1,0
rat_and_others,1,0
rat_and_pick,8,0
rat_and_rat,1,0
rat_attack,1,0
rat_bat,1,0
rat_bat_fight,1,0
rat_disappear,1,0
rat_pick,14,0
rat_pick_and_bat,1,0
rat_to_bat,1,0
